id_pedido,id_cliente,id_loja,id_funcionario,data_pedido,status,canal,valor_total,desconto,loja_nome,loja_tipo,loja_cidade,loja_estado,id_item,id_produto,quantidade,preco_venda,preco_custo,sku,produto_nome,id_categoria,categoria_nome,categoria_pai,subtotal,lucro_bruto,margem_pct,ano,mes,trimestre,dia_semana
48069,2149,1,1,2021-04-24 18:42:32,Cancelado,WhatsApp,630.44,0.0,CD Osasco,Online,Osasco,SP,145756,119,1,89.99,47.65,72006,Hub USB 3.0 7 Portas Multilaser GA181,7,Cabos e Adaptadores,Cabos e Adaptadores,89.99,42.34,47.05,2021,4,2,Sábado
48069,2149,1,1,2021-04-24 18:42:32,Cancelado,WhatsApp,630.44,0.0,CD Osasco,Online,Osasco,SP,145757,125,3,59.99,39.33,73005,Cartão Micro SD 64GB Kingston Neo 95MB/s C10,4,Armazenamento Portátil,Armazenamento Portátil,179.97,61.98,34.44,2021,4,2,Sábado
48069,2149,1,1,2021-04-24 18:42:32,Cancelado,WhatsApp,630.44,0.0,CD Osasco,Online,Osasco,SP,145758,126,1,89.99,55.34,73006,Cartão Micro SD 128GB Samsung EVO Plus 100MB/s,4,Armazenamento Portátil,Armazenamento Portátil,89.99,34.65,38.5,2021,4,2,Sábado
48069,2149,1,1,2021-04-24 18:42:32,Cancelado,WhatsApp,630.44,0.0,CD Osasco,Online,Osasco,SP,145759,106,3,89.99,49.52,71004,Switch 5P Mercusys MS105G Gigabit Desktop,24,Switches,Redes,269.97,121.41,44.97,2021,4,2,Sábado
11559,3229,3,35,2021-04-27 18:42:32,Cancelado,Loja Física,2559.44,85.29,Loja Santo André,Física,Santo André,SP,35186,126,4,89.99,55.34,73006,Cartão Micro SD 128GB Samsung EVO Plus 100MB/s,4,Armazenamento Portátil,Armazenamento Portátil,359.96,138.6,38.5,2021,4,2,Terça
11559,3229,3,35,2021-04-27 18:42:32,Cancelado,Loja Física,2559.44,85.29,Loja Santo André,Física,Santo André,SP,35187,54,3,119.99,80.43,53006,Fonte de Alimentação 200W Mtek MK200GX ITX,10,Fontes de Alimentação,Hardware,359.97,118.68,32.97,2021,4,2,Terça
11559,3229,3,35,2021-04-27 18:42:32,Cancelado,Loja Física,2559.44,85.29,Loja Santo André,Física,Santo André,SP,35188,134,7,299.99,168.22,75003,Gaveta de Dinheiro FTX LAS-335 Aço RJ11,5,Automação Comercial,Automação Comercial,2099.93,922.39,43.92,2021,4,2,Terça
32210,3377,5,53,2021-04-27 18:42:32,Cancelado,Loja Física,4182.56,49.08,Loja BH Centro,Física,Belo Horizonte,MG,97751,110,9,59.99,33.27,71008,Adaptador USB Wi-Fi TP-Link Archer T2U Mini AC600,1,Adaptadores Wi-Fi,Redes,539.91,240.48,44.54,2021,4,2,Terça
32210,3377,5,53,2021-04-27 18:42:32,Cancelado,Loja Física,4182.56,49.08,Loja BH Centro,Física,Belo Horizonte,MG,97752,76,6,59.99,36.26,61002,Teclado USB Logitech K120 920-004422 Espanhol,27,Teclados,Periféricos,359.94,142.38,39.56,2021,4,2,Terça
32210,3377,5,53,2021-04-27 18:42:32,Cancelado,Loja Física,4182.56,49.08,Loja BH Centro,Física,Belo Horizonte,MG,97753,29,1,959.99,601.02,50002,Processador AMD AM4 Ryzen 5 5600G 3.9GHz Box,21,Processadores,Hardware,959.99,358.97,37.39,2021,4,2,Terça
32210,3377,5,53,2021-04-27 18:42:32,Cancelado,Loja Física,4182.56,49.08,Loja BH Centro,Física,Belo Horizonte,MG,97754,71,6,59.99,38.29,60005,Mouse USB Satellite MO-G35 Gamer RGB 2400DPI,16,Mouses,Periféricos,359.94,130.2,36.17,2021,4,2,Terça
32210,3377,5,53,2021-04-27 18:42:32,Cancelado,Loja Física,4182.56,49.08,Loja BH Centro,Física,Belo Horizonte,MG,97755,149,19,46.99,30.24,79004,"Suporte para TV FTX FTX31-KP02 32 a 70"" 45kg Fixo",25,TVs e Displays,TVs e Displays,892.81,318.25,35.65,2021,4,2,Terça
32210,3377,5,53,2021-04-27 18:42:32,Cancelado,Loja Física,4182.56,49.08,Loja BH Centro,Física,Belo Horizonte,MG,97756,2,9,196.99,130.53,256659,Placa de Vídeo 2GB GT610 Keepdata DDR3 64Bits HDMI/DVI/VGA,20,Placas de Vídeo,Hardware,1772.91,598.14,33.74,2021,4,2,Terça
14287,2629,1,10,2021-04-28 18:42:32,Cancelado,WhatsApp,113.72,0.0,CD Osasco,Online,Osasco,SP,43458,75,4,27.99,17.47,61001,Teclado USB Satellite AK-910 ABNT2 Preto,27,Teclados,Periféricos,111.96,42.08,37.58,2021,4,2,Quarta
17583,3312,1,17,2021-04-28 18:42:32,Cancelado,Marketplace,719.87,0.0,CD Osasco,Online,Osasco,SP,53133,96,3,189.99,107.66,70004,Toner HP CF217A LaserJet M102W Preto ~1600 pgs,30,Toners e Cartuchos,Impressão,569.97,246.99,43.33,2021,4,2,Quarta
17583,3312,1,17,2021-04-28 18:42:32,Cancelado,Marketplace,719.87,0.0,CD Osasco,Online,Osasco,SP,53134,72,5,29.99,16.92,60006,Mouse USB Mtek MS35 Óptico 1200DPI Preto,16,Mouses,Periféricos,149.95,65.35,43.58,2021,4,2,Quarta
